priority,mountain,representative_route,effective_points,roundtrip_ct_min,status,route_points
C,霧島山（韓国岳）,えびの高原・韓国岳登山口ルート,3,164,OK,えびの高原・韓国岳登山口 -> 霧島山（韓国岳） -> えびの高原・韓国岳登山口
C,茶臼岳（那須岳）,峠の茶屋・茶臼岳ルート,3,163,OK,峠の茶屋・那須岳登山口 -> 茶臼岳（那須岳） -> 峠の茶屋・那須岳登山口
C,岩木山,岩木山八合目ルート,3,135,OK,岩木山八合目 -> 岩木山 -> 岩木山八合目
C,美ヶ原,山本小屋・王ヶ頭ルート,3,104,OK,山本小屋ふる里館・町営駐車場 -> 美ヶ原（王ヶ頭） -> 山本小屋ふる里館・町営駐車場
C,蔵王山（熊野岳）,蔵王ロープウェイ地蔵山頂駅ルート,3,95,OK,蔵王ロープウェイ地蔵山頂駅 -> 蔵王山（熊野岳） -> 蔵王ロープウェイ地蔵山頂駅
C,霧ヶ峰（車山）,車山肩ルート,3,70,OK,車山肩 -> 霧ヶ峰（車山） -> 車山肩
C,日出ヶ岳,大台ヶ原ビジターセンタールート,3,68,OK,大台ヶ原ビジターセンター -> 日出ヶ岳 -> 大台ヶ原ビジターセンター
C,八幡平,八幡平見返峠・山頂レストハウスルート,3,46,OK,八幡平見返峠・山頂レストハウス -> 八幡平 -> 八幡平見返峠・山頂レストハウス
HOLD,草津白根山,,0,0,NO_COURSE,
OK,鷲羽岳,折立登山口ルート,9,1539,OK,折立登山口 -> 太郎平小屋 -> 薬師沢小屋 -> 雲ノ平山荘 -> 鷲羽岳 -> 雲ノ平山荘 -> 薬師沢小屋 -> 太郎平小屋 -> 折立登山口
OK,水晶岳（黒岳）,折立登山口ルート,9,1430,OK,折立登山口 -> 太郎平小屋 -> 薬師沢小屋 -> 雲ノ平山荘 -> 水晶岳 -> 雲ノ平山荘 -> 薬師沢小屋 -> 太郎平小屋 -> 折立登山口
OK,幌尻岳,イドンナップ山荘駐車場（新冠陽希コース）ルート,5,1252,OK,イドンナップ山荘駐車場（新冠陽希コース） -> 新冠ポロシリ山荘 -> 幌尻岳 -> 新冠ポロシリ山荘 -> イドンナップ山荘駐車場（新冠陽希コース）
OK,光岳,沼平ゲートルート,5,1195,OK,沼平ゲート -> 茶臼岳 -> 光岳 -> 茶臼小屋 -> 沼平ゲート
OK,赤石岳,椹島ルート,7,1189,OK,椹島 -> 千枚小屋 -> 荒川岳 -> 荒川小屋 -> 赤石岳 -> 赤石小屋 -> 椹島
OK,間ノ岳,広河原・北岳縦走ルート,11,1131,OK,広河原 -> 白根御池小屋 -> 北岳肩の小屋 -> 北岳 -> 北岳山荘 -> 中白根山 -> 間ノ岳 -> 農鳥小屋 -> 農鳥岳 -> 大門沢小屋 -> 奈良田
OK,槍ヶ岳,上高地・槍沢ルート,11,1110,OK,上高地 -> 横尾山荘 -> 槍沢ロッヂ -> ババ平（槍沢キャンプ場） -> 大曲（水俣乗越分岐） -> 天狗原分岐 -> 槍ヶ岳山荘 -> 槍ヶ岳 -> 槍ヶ岳山荘 -> 槍沢ロッヂ -> 上高地
OK,奥穂高岳,上高地・涸沢ルート,9,1035,OK,上高地 -> 横尾山荘 -> 涸沢ヒュッテ -> 穂高岳山荘 -> 奥穂高岳 -> 穂高岳山荘 -> 涸沢ヒュッテ -> 横尾山荘 -> 上高地
OK,黒部五郎岳,折立・太郎平ルート,5,984,OK,折立登山口 -> 太郎平小屋 -> 黒部五郎岳 -> 太郎平小屋 -> 折立登山口
OK,鹿島槍ヶ岳,扇沢・柏原新道ルート,7,900,OK,扇沢登山口 -> 種池山荘 -> 冷池山荘 -> 鹿島槍ヶ岳 -> 冷池山荘 -> 種池山荘 -> 扇沢登山口
OK,荒川岳,椹島・千枚小屋ルート,5,826,OK,椹島 -> 千枚小屋 -> 荒川岳 -> 千枚小屋 -> 椹島
OK,薬師岳,折立・太郎平ルート,7,810,OK,折立登山口 -> 太郎平小屋 -> 薬師岳山荘 -> 薬師岳 -> 薬師岳山荘 -> 太郎平小屋 -> 折立登山口
OK,空木岳,千畳敷・中央アルプス縦走ルート,10,808,OK,千畳敷 -> 宝剣岳 -> 檜尾岳 -> 熊沢岳 -> 東川岳 -> 木曽殿山荘 -> 空木岳 -> 空木駒峰ヒュッテ -> 空木平避難小屋 -> 池山口登山口
OK,白山,市ノ瀬ルート,5,800,OK,市ノ瀬 -> 白山室堂 -> 白山（御前峰） -> 白山室堂 -> 市ノ瀬
OK,観音岳(鳳凰),夜叉神・鳳凰三山ルート,7,800,OK,夜叉神峠登山口 -> 南御室小屋 -> 薬師岳(鳳凰) -> 観音岳(鳳凰) -> 薬師岳(鳳凰) -> 南御室小屋 -> 夜叉神峠登山口
OK,剱岳,室堂・別山尾根ルート,7,790,OK,室堂 -> 剱澤小屋 -> 剣山荘 -> 剱岳 -> 剣山荘 -> 剱澤小屋 -> 室堂
OK,塩見岳,鳥倉・三伏峠ルート,7,764,OK,鳥倉登山口 -> 三伏峠小屋 -> 塩見小屋 -> 塩見岳 -> 塩見小屋 -> 三伏峠小屋 -> 鳥倉登山口
OK,富士山,御殿場ルート,5,746,OK,御殿場口新五合目 -> わらじ館 -> 富士山（剣ヶ峰） -> わらじ館 -> 御殿場口新五合目
OK,五竜岳,アルプス平ルート,5,715,OK,アルプス平 -> 五竜山荘 -> 五竜岳 -> 五竜山荘 -> アルプス平
OK,笠ヶ岳（岐阜）,笠新道ルート,5,665,OK,笠新道登山口 -> 笠ヶ岳山荘 -> 笠ヶ岳 -> 笠ヶ岳山荘 -> 笠新道登山口
OK,丹沢山,大倉・塔ノ岳・丹沢山ルート,5,663,OK,大倉登山口 -> 塔ノ岳 -> 丹沢山 -> 塔ノ岳 -> 大倉登山口
OK,北岳,広河原・草すべりルート,7,650,OK,広河原 -> 白根御池小屋 -> 北岳肩の小屋 -> 北岳 -> 北岳肩の小屋 -> 白根御池小屋 -> 広河原
OK,白馬岳,猿倉・大雪渓ルート,7,649,OK,猿倉 -> 白馬尻小屋跡 -> 白馬山荘 -> 白馬岳 -> 白馬山荘 -> 白馬尻小屋跡 -> 猿倉
OK,宮ノ浦岳,淀川登山口ルート,5,605,OK,淀川登山口 -> 淀川小屋 -> 宮ノ浦岳 -> 淀川小屋 -> 淀川登山口
OK,八ヶ岳（赤岳）,美濃戸口ルート,5,594,OK,美濃戸口 -> 行者小屋 -> 赤岳 -> 行者小屋 -> 美濃戸口
OK,常念岳,一ノ沢ルート,6,570,OK,一ノ沢登山口 -> 常念乗越 -> 常念小屋 -> 常念岳 -> 常念小屋 -> 一ノ沢登山口
OK,火打山,笹ヶ峰ルート,5,519,OK,笹ヶ峰登山口 -> 高谷池ヒュッテ -> 火打山 -> 高谷池ヒュッテ -> 笹ヶ峰登山口
OK,御嶽,中の湯登山口（黒沢口）ルート,6,472,OK,中の湯登山口（黒沢口） -> 女人堂 -> 御嶽山（剣ヶ峰） -> 石室山荘 -> 女人堂 -> 中の湯登山口（黒沢口）
OK,十勝岳,望岳台・十勝岳避難小屋ルート,5,425,OK,望岳台 -> 十勝岳避難小屋 -> 十勝岳 -> 十勝岳避難小屋 -> 望岳台
OK,高妻山,戸隠キャンプ場・高妻山登山者駐車場ルート,4,415,OK,戸隠キャンプ場・高妻山登山者駐車場 -> 一不動避難小屋 -> 高妻山 -> 戸隠キャンプ場・高妻山登山者駐車場
OK,八経ヶ岳,行者還トンネル西口ルート,5,400,OK,行者還トンネル西口 -> 弥山小屋 -> 八経ヶ岳 -> 弥山小屋 -> 行者還トンネル西口
OK,浅間山,火山館・前掛山ルート（警戒レベル1時）,11,400,OK,天狗温泉浅間山荘 -> 不動滝 -> 火山館 -> 湯の平分岐 -> 賽の河原分岐 -> 前掛山 -> 賽の河原分岐 -> 湯の平分岐 -> 火山館 -> 不動滝 -> 天狗温泉浅間山荘
OK,大山（鳥取）,夏山登山口 大山ルート,4,358,OK,夏山登山口 大山 -> 六合目避難小屋 -> 大山（弥山） -> 夏山登山口 大山
OK,瑞牆山,瑞牆山荘・富士見平口ルート,4,297,OK,瑞牆山荘・富士見平口 -> 富士見平小屋 -> 瑞牆山 -> 瑞牆山荘・富士見平口
OK,久住山,牧ノ戸峠ルート,5,279,OK,牧ノ戸峠 -> 久住分かれ避難小屋 -> 久住山 -> 久住分かれ避難小屋 -> 牧ノ戸峠
OK,谷川岳,天神平ルート,4,276,OK,天神平 -> 熊穴沢避難小屋 -> 谷川岳（オキノ耳） -> 天神平
OK,大雪山（旭岳）,旭岳ロープウェイ姿見駅ルート,4,259,OK,旭岳ロープウェイ姿見駅 -> 旭岳石室 -> 大雪山（旭岳） -> 旭岳ロープウェイ姿見駅
OK,木曽駒ヶ岳,千畳敷ルート,4,230,OK,千畳敷 -> 乗越浄土 -> 木曽駒ヶ岳 -> 千畳敷
OK,蓼科山,七合目登山口ルート,5,223,OK,蓼科山七合目登山口 -> 蓼科山頂ヒュッテ -> 蓼科山 -> 蓼科山頂ヒュッテ -> 蓼科山七合目登山口
OK,立山,室堂・一ノ越・雄山ルート,5,220,OK,室堂 -> 一の越山荘 -> 立山（雄山） -> 一の越山荘 -> 室堂
OK,剣山,見ノ越 剣山登山口ルート,4,171,OK,見ノ越 剣山登山口 -> 剣山野営場（西島野営場） -> 剣山 -> 見ノ越 剣山登山口
