PASS 鷲ヶ岳 | 鷲ヶ岳立石キャンプ場（林道ルート起点）ルート | 80m
PASS 位山 | ダナ平林道ルート | 60m
PASS 荒島岳 | 勝原コースルート | 210m
PASS 荒島岳 | 中出コースルート | 220m
PASS 冠山 | 冠山峠ルート | 45m
PASS 高見山 | 高見峠ルート | 76m
PASS 八経ヶ岳 | 行者還トンネル西口ルート | 239m
PASS 大和葛城山 | 水越峠ルート | 120m
PASS 瓶ヶ森 | 瓶ヶ森駐車場ルート | 50m
PASS 久住山 | 牧ノ戸峠ルート | 150m
SUMMARY mountains=110 courses=116 multi=6 bad=0
